lambda_weight,run_id,algorithm,accuracy_norm,energy_per_token_norm,latency_norm,reward,total_energy_wh
0.9,949,thompson_sampling,0.49396930386216426,0.07562434018065632,0.11318210782482736,0.8813350242236258,93.96419930035655
0.9,950,accuracy,0.6850036129066008,0.5373095930916143,0.6258397028689867,0.4849217275082073,731.4273224816835
0.9,950,epsilon_greedy,0.4917074667468807,0.07382395086617023,0.11622694425816299,0.8827291908951349,93.56289617299875
0.9,950,largest,0.38419378669728327,0.4122323191878735,0.4059649715387025,0.5674102914006421,440.4658335067343
0.9,950,linear_epsilon_greedy,0.45850124022815525,0.07723678102231628,0.11429303910783326,0.8763370211027308,116.74282897136003
0.9,950,linucb,0.4888010567097496,0.07127430982312609,0.10819792358971982,0.8847332268301614,91.07260262352885
0.9,950,random,0.5056805076430713,0.16683997365371817,0.2013511181287065,0.8004120744759607,242.54900728366968
0.9,950,smallest,0.3224971670309777,0.04785310832833502,0.08831793858344318,0.8891819192075961,52.46320379757186
0.9,950,thompson_sampling,0.47682029100796547,0.07497053588816442,0.11297594207097099,0.8802085468014486,95.77758627240227
0.9,951,accuracy,0.6850036129066008,0.5373095930916143,0.6258397028689867,0.4849217275082073,731.4273224816835
0.9,951,epsilon_greedy,0.37620845058805336,0.04709007604279435,0.0685484125250314,0.8952397766202904,66.21624060692083
0.9,951,largest,0.38419378669728327,0.4122323191878735,0.4059649715387025,0.5674102914006421,440.4658335067343
0.9,951,linear_epsilon_greedy,0.4195709194746488,0.05503967850131709,0.0926276235080039,0.8924213812962795,72.41319625782128
0.9,951,linucb,0.47504275949877867,0.07040722690137882,0.1086516955283415,0.884137771738637,92.53321798844918
0.9,951,random,0.5058363845660284,0.1667283677495387,0.20349141069147253,0.800528107482018,228.7872754481759
0.9,951,smallest,0.3224971670309777,0.04785310832833502,0.08831793858344318,0.8891819192075961,52.46320379757186
0.9,951,thompson_sampling,0.4911639912978886,0.07586697354946438,0.11201055623673549,0.8808361229352709,96.84850259506932
0.9,952,accuracy,0.6850036129066008,0.5373095930916143,0.6258397028689867,0.4849217275082073,731.4273224816835
0.9,952,epsilon_greedy,0.3312206144972295,0.052297908797251456,0.09298292486968024,0.8860539435321967,59.68456001947238
0.9,952,largest,0.38419378669728327,0.4122323191878735,0.4059649715387025,0.5674102914006421,440.4658335067343
0.9,952,linear_epsilon_greedy,0.45169881910488485,0.06590175188965215,0.10492045565662045,0.8858583052098016,78.52644345939771
0.9,952,linucb,0.47583312795798854,0.06469087996597178,0.10007310395597828,0.8893615208264242,80.68522180495718
0.9,952,random,0.5147891676480556,0.17083748514091274,0.20901143298228766,0.7977251801379841,241.691976802158
0.9,952,smallest,0.3224971670309777,0.04785310832833502,0.08831793858344318,0.8891819192075961,52.46320379757186
0.9,952,thompson_sampling,0.4771096162843244,0.07745963867146737,0.1146068677367864,0.8779972868241118,94.84555635472881
0.9,953,accuracy,0.6850036129066008,0.5373095930916143,0.6258397028689867,0.4849217275082073,731.4273224816835
0.9,953,epsilon_greedy,0.3792929865269889,0.04589556272602347,0.06864399394240495,0.8966232921992778,62.408821354104866
0.9,953,largest,0.38419378669728327,0.4122323191878735,0.4059649715387025,0.5674102914006421,440.4658335067343
0.9,953,linear_epsilon_greedy,0.49668357606894153,0.06467165828334964,0.10558046747876806,0.8914638651518795,97.86562071278898
0.9,953,linucb,0.4773848012107589,0.06670274744613433,0.10369024515714777,0.887706007419555,83.32908818944169
0.9,953,random,0.5219322026465812,0.16593550109894817,0.2021515746471384,0.8028512692756048,235.87637262154038
0.9,953,smallest,0.3224971670309777,0.04785310832833502,0.08831793858344318,0.8891819192075961,52.46320379757186
0.9,953,thompson_sampling,0.48865840917408704,0.07563904478425397,0.1149998934395273,0.8807907006115802,96.45820102225292
0.9,954,accuracy,0.6850036129066008,0.5373095930916143,0.6258397028689867,0.4849217275082073,731.4273224816835
0.9,954,epsilon_greedy,0.3759165190108612,0.04681169763086342,0.06856215812586407,0.895461124033309,64.1248189092738
0.9,954,largest,0.38419378669728327,0.4122323191878735,0.4059649715387025,0.5674102914006421,440.4658335067343
0.9,954,linear_epsilon_greedy,0.4244450952708802,0.05716279817472458,0.08621414303271588,0.8909979911698359,70.68448384120377
0.9,954,linucb,0.4742985549575498,0.0682784846329435,0.10463889702696047,0.8859792193261059,87.01134699556286
0.9,954,random,0.5077174374222545,0.16961080495276715,0.20579590573186965,0.798122019284735,241.86519813371805
0.9,954,smallest,0.3224971670309777,0.04785310832833502,0.08831793858344318,0.8891819192075961,52.46320379757186
0.9,954,thompson_sampling,0.47548804365702235,0.07540833540384491,0.1137346121923628,0.8796813025022419,92.69778967205637
0.9,955,accuracy,0.6850036129066008,0.5373095930916143,0.6258397028689867,0.4849217275082073,731.4273224816835
0.9,955,epsilon_greedy,0.33052588778184594,0.05241678317333739,0.0933718494417932,0.8858774839221809,58.49622119365207
0.9,955,largest,0.38419378669728327,0.4122323191878735,0.4059649715387025,0.5674102914006421,440.4658335067343
0.9,955,linear_epsilon_greedy,0.5429627368473878,0.07458267691655705,0.11083577660937192,0.8871718644598375,109.20768711618923
0.9,955,linucb,0.5133351078433169,0.07074872557358808,0.10586918382316876,0.8876596577681024,89.74128343357948
0.9,955,random,0.517486398689004,0.16261414740299004,0.20122846507945713,0.8053959072062093,232.4666756806766
0.9,955,smallest,0.3224971670309777,0.04785310832833502,0.08831793858344318,0.8891819192075961,52.46320379757186
0.9,955,thompson_sampling,0.4954359329404702,0.07467662447667113,0.11121646173393224,0.8823346312650431,97.31978085068408
0.9,956,accuracy,0.6850036129066008,0.5373095930916143,0.6258397028689867,0.4849217275082073,731.4273224816835
0.9,956,epsilon_greedy,0.3786915935097657,0.04770159263205167,0.07056493433079028,0.89493772598213,62.25461092857213
0.9,956,largest,0.38419378669728327,0.4122323191878735,0.4059649715387025,0.5674102914006421,440.4658335067343
0.9,956,linear_epsilon_greedy,0.5422898425973658,0.07436296567317507,0.1091250973932732,0.8873023151538789,110.95013216484878
0.9,956,linucb,0.49558810030255335,0.06631040035992425,0.10170746142869129,0.8898794497063236,83.03887006213985
0.9,956,random,0.4975011711366935,0.16578888433078143,0.20094371459916524,0.8005401212159661,237.7382429051479
0.9,956,smallest,0.3224971670309777,0.04785310832833502,0.08831793858344318,0.8891819192075961,52.46320379757186
0.9,956,thompson_sampling,0.48432180182486234,0.07406809747702156,0.1111218825886437,0.8817708924531668,92.23903824308755
0.9,957,accuracy,0.6850036129066008,0.5373095930916143,0.6258397028689867,0.4849217275082073,731.4273224816835
0.9,957,epsilon_greedy,0.380407939970302,0.04785021006858081,0.06961200551507311,0.8949756049353075,65.95665245429315
0.9,957,largest,0.38419378669728327,0.4122323191878735,0.4059649715387025,0.5674102914006421,440.4658335067343
0.9,957,linear_epsilon_greedy,0.39037789730768513,0.05511320431863835,0.08847530469627508,0.8894359058439941,67.27029589942556
0.9,957,linucb,0.4849209960899255,0.06798285118705356,0.10405930703819898,0.8873075335406444,79.38816685345314
0.9,957,random,0.5039685371328314,0.1622045810368167,0.19937360185517833,0.8044127307801481,229.9824174361951
0.9,957,smallest,0.3224971670309777,0.04785310832833502,0.08831793858344318,0.8891819192075961,52.46320379757186
0.9,957,thompson_sampling,0.46735006905487353,0.07275108629001995,0.11082759926370843,0.8812590292444694,90.04691989131815
0.9,958,accuracy,0.6850036129066008,0.5373095930916143,0.6258397028689867,0.4849217275082073,731.4273224816835
0.9,958,epsilon_greedy,0.34206256641371785,0.05424358398663553,0.09384358811603011,0.8853870310533998,61.99677240934569
0.9,958,largest,0.38419378669728327,0.4122323191878735,0.4059649715387025,0.5674102914006421,440.4658335067343
0.9,958,linear_epsilon_greedy,0.44097258107119314,0.06129097312032667,0.09877991433794758,0.8889353822988253,71.52636445576121
0.9,958,linucb,0.4719753756054557,0.06650147361775771,0.10288033431352356,0.8873462113045636,79.45184368956161
0.9,958,random,0.5281463116636349,0.16723646783928675,0.2045848891288958,0.8023018101110054,232.7213587680118
0.9,958,smallest,0.3224971670309777,0.04785310832833502,0.08831793858344318,0.8891819192075961,52.46320379757186
0.9,958,thompson_sampling,0.48579366113121925,0.0772256452233253,0.11604967652795062,0.8790762854121292,105.44284325598029
0.9,959,accuracy,0.6850036129066008,0.5373095930916143,0.6258397028689867,0.4849217275082073,731.4273224816835
0.9,959,epsilon_greedy,0.37573869632896983,0.04609874559926985,0.06808752974955812,0.8960849985935542,63.24899424194642
0.9,959,largest,0.38419378669728327,0.4122323191878735,0.4059649715387025,0.5674102914006421,440.4658335067343
0.9,959,linear_epsilon_greedy,0.414912931239005,0.05227423162761958,0.0836856196538894,0.894444484659043,65.41017008868299
0.9,959,linucb,0.47934875338445837,0.06664573367996325,0.10145904063104166,0.8879537150264789,84.66705558749906
0.9,959,random,0.5083974875567449,0.1684743435107291,0.20377840462233082,0.7992128395960183,234.87695470108275
0.9,959,smallest,0.3224971670309777,0.04785310832833502,0.08831793858344318,0.8891819192075961,52.46320379757186
0.9,959,thompson_sampling,0.49454077165352794,0.07327107470884578,0.11057552050333559,0.8835101099273915,89.71725170708788
1.0,1040,accuracy,0.6850036129066008,0.5373095930916143,0.6258397028689867,0.46269040690838575,731.4273224816835
1.0,1040,epsilon_greedy,0.3294891157380726,0.05139243448456815,0.09212416567920002,0.9486075655154318,59.85299388433978
1.0,1040,largest,0.38419378669728327,0.4122323191878735,0.4059649715387025,0.5877676808121265,440.4658335067343
1.0,1040,linear_epsilon_greedy,0.3476177822824309,0.04946974021048287,0.07732477885898292,0.9505302597895172,55.295115738232305
1.0,1040,linucb,0.3912812574267695,0.060329235832248626,0.10082927390884866,0.9396707641677514,73.9574869979084
1.0,1040,random,0.495843172335674,0.16580365226626995,0.20419495746802785,0.83419634773373,239.4105607002284
1.0,1040,smallest,0.3224971670309777,0.04785310832833502,0.08831793858344318,0.9521468916716651,52.46320379757186
1.0,1040,thompson_sampling,0.38571126365986624,0.06398158486644508,0.09964443524006822,0.9360184151335549,82.61671716233647
